"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\master01\processor(_total)\% processor time","\\master01\logicaldisk(_total)\disk reads/sec","\\master01\logicaldisk(_total)\disk writes/sec","\\master01\sqlserver:databases(_total)\log bytes flushed/sec"
"02/12/2019 12:50:10.429"," "," "," "," "
"02/12/2019 12:50:11.445","3.0383054715699687","0","5.9087628822215938","0"
"02/12/2019 12:50:12.445","4.7484229087075942","0","5.9980054705919779","0"
"02/12/2019 12:50:13.445","18.758440997980308","69.993189912367839","12.998735269439742","0"
"02/12/2019 12:50:14.460","6.1088616094120756","2.9555643995879439","30.540832129075419","0"
"02/12/2019 12:50:15.461","26.584686107858204","0.99936571782812933","2.9980971534843879","0"
"02/12/2019 12:50:16.477","20.054180143072021","0","6.8825961509740425","0"
"02/12/2019 12:50:17.492","3.7923675631284626","0","4.9307847458834813","0"
"02/12/2019 12:50:18.508","0.78413818142869518","0","1.9687319916170347","0"
"02/12/2019 12:50:19.523","0","0","1.9701483724885887","0"
"02/12/2019 12:50:20.523","0.031150293568527054","0","1.9994188535244111","0"
"02/12/2019 12:50:21.523","18.75670257203781","0","4.9997105906577843","0"
"02/12/2019 12:50:22.539","11.531057368493613","0","1.9693949449995936","0"
"02/12/2019 12:50:23.554","2.2853616565567836","0","5.9087724376713942","0"
"02/12/2019 12:50:24.570","17.715219826051143","0","3.9318059015303239","0"
"02/12/2019 12:50:25.586","58.450955088818681","0","9.8634662753439546","0"
"02/12/2019 12:50:26.601","57.686383265181853","0","9.8470941460068175","0"
"02/12/2019 12:50:27.617","60.004312150468451","0","11.810535324015094","0"
"02/12/2019 12:50:28.633","76.930758909377815","0","1.9691680739726936","0"
"02/12/2019 12:50:29.648","71.536928561223178","8.8540378051632249","7.8702558268117553","0"
"02/12/2019 12:50:30.649","60.951159284482294","1.9964314532074914","28.948256071508627","0"
"02/12/2019 12:50:31.663","59.962012943431176","0","7.8982216594710533","0"
"02/12/2019 12:50:32.679","72.305472655236088","0","1.9700989758676817","0"
"02/12/2019 12:50:33.680","57.05947480720922","0","3.9957890799869751","0"
"02/12/2019 12:50:34.695","62.289149244192046","0","2.9571730688607487","0"
"02/12/2019 12:50:35.711","60.021264259000404","0","1.9659473771078595","0"
"02/12/2019 12:50:36.726","56.921261518762336","0","3.9431272025602713","0"
"02/12/2019 12:50:37.742","57.680023700664073","0","1.9695637391110643","0"
"02/12/2019 12:50:38.742","59.375048749941506","0","2.0002348527181941","0"
"02/12/2019 12:50:39.742","60.162791269673519","0","1.9995025571925837","0"
"02/12/2019 12:50:40.757","59.985213489843922","0","1.9695310927101179","0"
"02/12/2019 12:50:41.773","60.004957908479327","0","7.8615021655919399","0"
"02/12/2019 12:50:42.788","63.841561168138526","0","3.9473477381209929","0"
"02/12/2019 12:50:43.804","63.070443473749684","0","3.9385765386081499","0"
"02/12/2019 12:50:44.804","53.910941866118023","0","2.0000821100644361","0"
"02/12/2019 12:50:45.804","53.923970840814619","0","3.9975169937407893","0"
"02/12/2019 12:50:46.820","57.686012412529749","0","13.790899179387798","0"
"02/12/2019 12:50:47.835","53.83297138382899","0","1.9696927427946478","0"
"02/12/2019 12:50:48.836","63.293638397040993","0","1.9990677027531083","0"
"02/12/2019 12:50:49.851","56.922304970782001","0","1.9694060908883269","0"
"02/12/2019 12:50:50.867","57.685104004413404","0","3.9349276716110624","0"
"02/12/2019 12:50:51.882","59.225690633713391","0","8.868109957517591","0"
"02/12/2019 12:50:52.883","58.622098000659747","0","1.9993482852885254","0"
"02/12/2019 12:50:53.898","64.615168604598509","2.9534739536833121","5.9069479073666242","3024.3573285717116"
"02/12/2019 12:50:54.914","62.314527176954094","0","1.9693638964033524","0"
"02/12/2019 12:50:55.929","56.899744964708034","0","1.9701977715866172","0"
"02/12/2019 12:50:56.929","61.722505022257309","0","5.9990887541175386","0"
"02/12/2019 12:50:57.930","58.60036152226489","0","1.999932674777714","0"
"02/12/2019 12:50:58.930","58.597082934823753","0","1.9997430390679132","0"
"02/12/2019 12:50:59.945","60.758837294505575","0","1.9697245981575189","0"
"02/12/2019 12:51:00.961","63.856114878469427","0","1.9683374558289608","0"
"02/12/2019 12:51:01.977","58.471016781105369","0","6.8926343217999211","0"
"02/12/2019 12:51:02.992","56.899570877350357","0","10.834449015901258","0"
"02/12/2019 12:51:04.008","61.551189159586016","0","1.9688775961774343","0"
"02/12/2019 12:51:05.008","54.698268221643723","0","1.998905296224462","0"
"02/12/2019 12:51:06.023","55.350931577870732","0.98557040652748629","1.9711408130549726","0"
"02/12/2019 12:51:07.023","57.043436776986368","0","7.9987357567398938","0"
"02/12/2019 12:51:08.039","60.764374726796952","0","1.9694896890753926","0"
"02/12/2019 12:51:09.054","57.694219653236104","0","1.9690749525789264","0"
"02/12/2019 12:51:10.070","56.913981398263914","0","1.9692373237959226","0"
"02/12/2019 12:51:11.070","59.392919904446174","0","1.9992399809420709","0"
"02/12/2019 12:51:12.085","59.209245769657073","0","2.9553540266264617","0"
"02/12/2019 12:51:13.086","59.389940440911793","0","3.9988853018262831","0"
"02/12/2019 12:51:14.101","56.916247154010378","0","1.9694634145947061","0"
"02/12/2019 12:51:15.117","52.304198333396677","0","1.9690972372390094","0"
"02/12/2019 12:51:16.117","53.922496927583332","0","1.9984788996553731","0"
"02/12/2019 12:51:17.133","58.457538114193298","0","4.9268433477992124","0"
"02/12/2019 12:51:18.148","53.840459037063226","0","3.9388360661039425","0"
"02/12/2019 12:51:19.163","56.144234049476353","0","1.9696887609467362","0"
"02/12/2019 12:51:20.164","60.165145123094007","0","1.9992851063270962","0"
"02/12/2019 12:51:21.179","57.681324107849676","0","1.9695159642571405","0"
"02/12/2019 12:51:22.195","62.325672119850836","0","4.9221581836559265","0"
"02/12/2019 12:51:23.212","34.679063885633809","0","1.966951471708047","0"
"02/12/2019 12:51:24.227","0","0","1.9698719426147646","0"
"02/12/2019 12:51:25.243","0.76966066559317481","0","1.9692397118077338","0"
"02/12/2019 12:51:26.258","0","0","2.9540864465334309","0"
"02/12/2019 12:51:27.274","0.015761207759401596","0","1.9688537251014291","0"
"02/12/2019 12:51:28.290","0.0090379523111194793","0","1.9685665218708963","0"
"02/12/2019 12:51:29.306","0.013615376731956896","0","1.9688553164884877","0"
"02/12/2019 12:51:30.320","0","0","1.9717056349941922","0"
"02/12/2019 12:51:31.337","0.088271550953678002","0","4.9184689001398496","0"
"02/12/2019 12:51:32.352","0","0","1.9693272762404628","0"
"02/12/2019 12:51:33.367","0","0","1.970619358199996","0"
"02/12/2019 12:51:34.384","0.067361363112183881","0","1.9679868017462478","0"
"02/12/2019 12:51:35.399","0.016036812409359058","0","3.9372078184735702","0"
"02/12/2019 12:51:36.414","0","0","4.927903873449722","0"
"02/12/2019 12:51:37.430","0","0","1.9692906574394462","0"
"02/12/2019 12:51:38.430","0.0083393045020030421","0","1.999700355468718","0"
"02/12/2019 12:51:39.431","0.081463582740992635","0","1.9985846618367398","0"
"02/12/2019 12:51:40.431","0.0040598351706888636","0","2.9994963600003941","0"
"02/12/2019 12:51:41.446","0","0","2.9543288871567577","0"
"02/12/2019 12:51:42.460","0","0","1.9718381118445232","0"
"02/12/2019 12:51:43.462","0.12296860105838192","0","3.9952008810959243","0"
"02/12/2019 12:51:44.477","0","0","1.9687741590283894","0"
"02/12/2019 12:51:45.493","0.0096975210281180502","0","1.9700440051211254","0"
"02/12/2019 12:51:46.507","0","0","4.9283545356914225","0"
"02/12/2019 12:51:47.508","0.079207212442700126","0","1.9989020155564208","0"
"02/12/2019 12:51:48.509","0.075113537154125609","0","1.9983616724887316","0"
"02/12/2019 12:51:49.524","0","0","1.9701874135059696","0"
"02/12/2019 12:51:50.524","0.019046371666198159","0","1.9997036387578115","0"
"02/12/2019 12:51:51.525","0.072577287116371014","0","17.988560780239961","0"
"02/12/2019 12:51:52.539","0.68893120029703825","0","1.9710698343223658","0"
"02/12/2019 12:51:53.555","2.3462490133126512","0","1.9682499793951715","0"
"02/12/2019 12:51:54.570","2.9417558838371494","0","1.97053964935897","0"
"02/12/2019 12:51:55.570","2.412578408448518","0","1.9997496059372126","0"
"02/12/2019 12:51:56.586","3.1296968258424762","0","5.9039914101021784","0"
"02/12/2019 12:51:57.602","1.5441035157419125","0","1.9695908125571313","0"
"02/12/2019 12:51:58.618","2.2873825146573212","0","1.9693917604831277","0"
"02/12/2019 12:51:59.633","1.5330419170886511","0","1.9696521287013025","0"
"02/12/2019 12:52:00.648","6.8575137837331601","0","4.9262475008322131","0"
"02/12/2019 12:52:01.664","2.295676780337097","0","5.9090638937372564","0"
"02/12/2019 12:52:02.664","0.056587959897103079","0","1.9987970398646713","0"
